<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;29.10.2018;14:23;111330,0000000;111360,0000000;111320,0000000;111330,0000000;126
SPFB.RTS-12.18;1;29.10.2018;14:24;111330,0000000;111350,0000000;111310,0000000;111340,0000000;176
SPFB.RTS-12.18;1;29.10.2018;14:25;111340,0000000;111380,0000000;111340,0000000;111340,0000000;336
SPFB.RTS-12.18;1;29.10.2018;14:26;111360,0000000;111470,0000000;111360,0000000;111410,0000000;1167
SPFB.RTS-12.18;1;29.10.2018;14:27;111410,0000000;111430,0000000;111360,0000000;111370,0000000;574
SPFB.RTS-12.18;1;29.10.2018;14:28;111360,0000000;111380,0000000;111340,0000000;111340,0000000;236
SPFB.RTS-12.18;1;29.10.2018;14:29;111340,0000000;111350,0000000;111300,0000000;111320,0000000;327
SPFB.RTS-12.18;1;29.10.2018;14:30;111320,0000000;111340,0000000;111300,0000000;111320,0000000;162
SPFB.RTS-12.18;1;29.10.2018;14:31;111320,0000000;111460,0000000;111320,0000000;111370,0000000;696
SPFB.RTS-12.18;1;29.10.2018;14:32;111380,0000000;111470,0000000;111370,0000000;111420,0000000;526
SPFB.RTS-12.18;1;29.10.2018;14:33;111420,0000000;111450,0000000;111390,0000000;111390,0000000;311
SPFB.RTS-12.18;1;29.10.2018;14:34;111390,0000000;111420,0000000;111380,0000000;111390,0000000;311
SPFB.RTS-12.18;1;29.10.2018;14:35;111420,0000000;111440,0000000;111400,0000000;111430,0000000;145
SPFB.RTS-12.18;1;29.10.2018;14:36;111430,0000000;111470,0000000;111350,0000000;111350,0000000;681
SPFB.RTS-12.18;1;29.10.2018;14:37;111360,0000000;111400,0000000;111340,0000000;111370,0000000;448
SPFB.RTS-12.18;1;29.10.2018;14:38;111370,0000000;111400,0000000;111360,0000000;111390,0000000;264
SPFB.RTS-12.18;1;29.10.2018;14:39;111390,0000000;111410,0000000;111370,0000000;111380,0000000;154
SPFB.RTS-12.18;1;29.10.2018;14:40;111380,0000000;111410,0000000;111370,0000000;111400,0000000;153
SPFB.RTS-12.18;1;29.10.2018;14:41;111410,0000000;111420,0000000;111380,0000000;111400,0000000;125
SPFB.RTS-12.18;1;29.10.2018;14:42;111400,0000000;111450,0000000;111400,0000000;111410,0000000;278
SPFB.RTS-12.18;1;29.10.2018;14:43;111430,0000000;111440,0000000;111390,0000000;111390,0000000;145
SPFB.RTS-12.18;1;29.10.2018;14:44;111390,0000000;111390,0000000;111310,0000000;111320,0000000;651
SPFB.RTS-12.18;1;29.10.2018;14:45;111320,0000000;111370,0000000;111280,0000000;111290,0000000;518
SPFB.RTS-12.18;1;29.10.2018;14:46;111310,0000000;111350,0000000;111290,0000000;111320,0000000;420
SPFB.RTS-12.18;1;29.10.2018;14:47;111310,0000000;111360,0000000;111310,0000000;111350,0000000;196
SPFB.RTS-12.18;1;29.10.2018;14:48;111340,0000000;111350,0000000;111320,0000000;111330,0000000;366
SPFB.RTS-12.18;1;29.10.2018;14:49;111320,0000000;111360,0000000;111310,0000000;111340,0000000;227
SPFB.RTS-12.18;1;29.10.2018;14:50;111350,0000000;111420,0000000;111330,0000000;111420,0000000;480
SPFB.RTS-12.18;1;29.10.2018;14:51;111420,0000000;111420,0000000;111370,0000000;111400,0000000;324
SPFB.RTS-12.18;1;29.10.2018;14:52;111410,0000000;111440,0000000;111380,0000000;111410,0000000;478
SPFB.RTS-12.18;1;29.10.2018;14:53;111420,0000000;111470,0000000;111400,0000000;111450,0000000;550
SPFB.RTS-12.18;1;29.10.2018;14:54;111440,0000000;111470,0000000;111380,0000000;111380,0000000;336
SPFB.RTS-12.18;1;29.10.2018;14:55;111380,0000000;111420,0000000;111380,0000000;111390,0000000;132
SPFB.RTS-12.18;1;29.10.2018;14:56;111400,0000000;111420,0000000;111290,0000000;111290,0000000;747
SPFB.RTS-12.18;1;29.10.2018;14:57;111310,0000000;111320,0000000;111270,0000000;111280,0000000;402
SPFB.RTS-12.18;1;29.10.2018;14:58;111280,0000000;111310,0000000;111250,0000000;111290,0000000;511
SPFB.RTS-12.18;1;29.10.2018;14:59;111290,0000000;111300,0000000;111250,0000000;111260,0000000;337
SPFB.RTS-12.18;1;29.10.2018;15:00;111270,0000000;111280,0000000;111170,0000000;111190,0000000;1292
SPFB.RTS-12.18;1;29.10.2018;15:01;111200,0000000;111310,0000000;111200,0000000;111280,0000000;799
SPFB.RTS-12.18;1;29.10.2018;15:02;111290,0000000;111350,0000000;111270,0000000;111320,0000000;464
SPFB.RTS-12.18;1;29.10.2018;15:03;111320,0000000;111340,0000000;111270,0000000;111270,0000000;364
SPFB.RTS-12.18;1;29.10.2018;15:04;111260,0000000;111290,0000000;111250,0000000;111260,0000000;335
SPFB.RTS-12.18;1;29.10.2018;15:05;111260,0000000;111300,0000000;111240,0000000;111300,0000000;377
SPFB.RTS-12.18;1;29.10.2018;15:06;111300,0000000;111310,0000000;111200,0000000;111220,0000000;497
SPFB.RTS-12.18;1;29.10.2018;15:07;111230,0000000;111310,0000000;111220,0000000;111290,0000000;736
SPFB.RTS-12.18;1;29.10.2018;15:08;111290,0000000;111300,0000000;111250,0000000;111260,0000000;452
SPFB.RTS-12.18;1;29.10.2018;15:09;111260,0000000;111270,0000000;111200,0000000;111230,0000000;481
SPFB.RTS-12.18;1;29.10.2018;15:10;111240,0000000;111270,0000000;111220,0000000;111220,0000000;323
SPFB.RTS-12.18;1;29.10.2018;15:11;111210,0000000;111340,0000000;111200,0000000;111300,0000000;1419
SPFB.RTS-12.18;1;29.10.2018;15:12;111310,0000000;111320,0000000;111260,0000000;111280,0000000;326
SPFB.RTS-12.18;1;29.10.2018;15:13;111280,0000000;111350,0000000;111260,0000000;111310,0000000;658
SPFB.RTS-12.18;1;29.10.2018;15:14;111310,0000000;111350,0000000;111280,0000000;111280,0000000;338
SPFB.RTS-12.18;1;29.10.2018;15:15;111280,0000000;111330,0000000;111270,0000000;111280,0000000;381
SPFB.RTS-12.18;1;29.10.2018;15:16;111270,0000000;111320,0000000;111260,0000000;111320,0000000;495
SPFB.RTS-12.18;1;29.10.2018;15:17;111320,0000000;111340,0000000;111280,0000000;111310,0000000;308
SPFB.RTS-12.18;1;29.10.2018;15:18;111310,0000000;111360,0000000;111310,0000000;111320,0000000;283
SPFB.RTS-12.18;1;29.10.2018;15:19;111310,0000000;111340,0000000;111290,0000000;111300,0000000;170
SPFB.RTS-12.18;1;29.10.2018;15:20;111300,0000000;111310,0000000;111230,0000000;111230,0000000;506
SPFB.RTS-12.18;1;29.10.2018;15:21;111230,0000000;111280,0000000;111180,0000000;111180,0000000;583
SPFB.RTS-12.18;1;29.10.2018;15:22;111170,0000000;111210,0000000;111110,0000000;111140,0000000;1391
SPFB.RTS-12.18;1;29.10.2018;15:23;111130,0000000;111160,0000000;111100,0000000;111160,0000000;673
SPFB.RTS-12.18;1;29.10.2018;15:24;111160,0000000;111210,0000000;111140,0000000;111160,0000000;467
SPFB.RTS-12.18;1;29.10.2018;15:25;111150,0000000;111160,0000000;111070,0000000;111090,0000000;789
SPFB.RTS-12.18;1;29.10.2018;15:26;111090,0000000;111120,0000000;111030,0000000;111060,0000000;1209
SPFB.RTS-12.18;1;29.10.2018;15:27;111060,0000000;111090,0000000;111040,0000000;111060,0000000;467
SPFB.RTS-12.18;1;29.10.2018;15:28;111070,0000000;111070,0000000;111030,0000000;111050,0000000;388
SPFB.RTS-12.18;1;29.10.2018;15:29;111050,0000000;111090,0000000;111040,0000000;111060,0000000;602
SPFB.RTS-12.18;1;29.10.2018;15:30;111070,0000000;111130,0000000;111070,0000000;111110,0000000;584
SPFB.RTS-12.18;1;29.10.2018;15:31;111110,0000000;111140,0000000;111100,0000000;111120,0000000;352
SPFB.RTS-12.18;1;29.10.2018;15:32;111120,0000000;111130,0000000;111050,0000000;111050,0000000;422
SPFB.RTS-12.18;1;29.10.2018;15:33;111050,0000000;111090,0000000;111030,0000000;111060,0000000;343
SPFB.RTS-12.18;1;29.10.2018;15:34;111050,0000000;111090,0000000;111040,0000000;111050,0000000;170
SPFB.RTS-12.18;1;29.10.2018;15:35;111050,0000000;111060,0000000;111000,0000000;111000,0000000;586
SPFB.RTS-12.18;1;29.10.2018;15:36;111000,0000000;111020,0000000;110970,0000000;111020,0000000;1109
SPFB.RTS-12.18;1;29.10.2018;15:37;111020,0000000;111020,0000000;110950,0000000;110980,0000000;773
SPFB.RTS-12.18;1;29.10.2018;15:38;110980,0000000;110980,0000000;110940,0000000;110950,0000000;697
SPFB.RTS-12.18;1;29.10.2018;15:39;110960,0000000;110970,0000000;110920,0000000;110940,0000000;499
SPFB.RTS-12.18;1;29.10.2018;15:40;110930,0000000;110980,0000000;110880,0000000;110980,0000000;887
SPFB.RTS-12.18;1;29.10.2018;15:41;110970,0000000;111080,0000000;110970,0000000;111070,0000000;856
SPFB.RTS-12.18;1;29.10.2018;15:42;111070,0000000;111130,0000000;111030,0000000;111030,0000000;895
SPFB.RTS-12.18;1;29.10.2018;15:43;111030,0000000;111080,0000000;111020,0000000;111060,0000000;327
SPFB.RTS-12.18;1;29.10.2018;15:44;111060,0000000;111060,0000000;110980,0000000;111050,0000000;644
SPFB.RTS-12.18;1;29.10.2018;15:45;111050,0000000;111050,0000000;110980,0000000;110980,0000000;221
SPFB.RTS-12.18;1;29.10.2018;15:46;110990,0000000;111010,0000000;110980,0000000;111010,0000000;197
SPFB.RTS-12.18;1;29.10.2018;15:47;110990,0000000;111090,0000000;110980,0000000;111060,0000000;471
SPFB.RTS-12.18;1;29.10.2018;15:48;111060,0000000;111080,0000000;111050,0000000;111060,0000000;348
SPFB.RTS-12.18;1;29.10.2018;15:49;111050,0000000;111070,0000000;111010,0000000;111010,0000000;258
SPFB.RTS-12.18;1;29.10.2018;15:50;111030,0000000;111080,0000000;111010,0000000;111030,0000000;288
SPFB.RTS-12.18;1;29.10.2018;15:51;111030,0000000;111050,0000000;111000,0000000;111010,0000000;388
SPFB.RTS-12.18;1;29.10.2018;15:52;111010,0000000;111020,0000000;110920,0000000;110920,0000000;771
SPFB.RTS-12.18;1;29.10.2018;15:53;110920,0000000;111010,0000000;110920,0000000;110970,0000000;272
SPFB.RTS-12.18;1;29.10.2018;15:54;110970,0000000;110990,0000000;110960,0000000;110960,0000000;131
SPFB.RTS-12.18;1;29.10.2018;15:55;110960,0000000;110980,0000000;110900,0000000;110940,0000000;586
SPFB.RTS-12.18;1;29.10.2018;15:56;110950,0000000;111020,0000000;110920,0000000;111000,0000000;786
SPFB.RTS-12.18;1;29.10.2018;15:57;111000,0000000;111000,0000000;110940,0000000;110980,0000000;516
SPFB.RTS-12.18;1;29.10.2018;15:58;111000,0000000;111000,0000000;110930,0000000;110970,0000000;382
SPFB.RTS-12.18;1;29.10.2018;15:59;110980,0000000;111040,0000000;110970,0000000;111010,0000000;254
SPFB.RTS-12.18;1;29.10.2018;16:00;111010,0000000;111100,0000000;111010,0000000;111070,0000000;520
SPFB.RTS-12.18;1;29.10.2018;16:01;111090,0000000;111090,0000000;110970,0000000;111000,0000000;577
SPFB.RTS-12.18;1;29.10.2018;16:02;111010,0000000;111040,0000000;110980,0000000;110980,0000000;194
SPFB.RTS-12.18;1;29.10.2018;16:03;110980,0000000;110990,0000000;110940,0000000;110960,0000000;285
SPFB.RTS-12.18;1;29.10.2018;16:04;110960,0000000;110990,0000000;110940,0000000;110940,0000000;342
SPFB.RTS-12.18;1;29.10.2018;16:05;110940,0000000;111010,0000000;110930,0000000;111010,0000000;436
SPFB.RTS-12.18;1;29.10.2018;16:06;111010,0000000;111010,0000000;110920,0000000;110970,0000000;334
SPFB.RTS-12.18;1;29.10.2018;16:07;110960,0000000;110990,0000000;110950,0000000;110980,0000000;251
SPFB.RTS-12.18;1;29.10.2018;16:08;110990,0000000;111030,0000000;110960,0000000;111030,0000000;233
SPFB.RTS-12.18;1;29.10.2018;16:09;111040,0000000;111040,0000000;110960,0000000;110960,0000000;335
SPFB.RTS-12.18;1;29.10.2018;16:10;110960,0000000;111050,0000000;110950,0000000;111030,0000000;200
SPFB.RTS-12.18;1;29.10.2018;16:11;111020,0000000;111030,0000000;110950,0000000;110950,0000000;186
SPFB.RTS-12.18;1;29.10.2018;16:12;110950,0000000;110990,0000000;110940,0000000;110940,0000000;214
SPFB.RTS-12.18;1;29.10.2018;16:13;110940,0000000;110990,0000000;110940,0000000;110990,0000000;344
SPFB.RTS-12.18;1;29.10.2018;16:14;110990,0000000;111020,0000000;110910,0000000;110920,0000000;661
SPFB.RTS-12.18;1;29.10.2018;16:15;110920,0000000;110970,0000000;110910,0000000;110970,0000000;475
SPFB.RTS-12.18;1;29.10.2018;16:16;110980,0000000;110980,0000000;110930,0000000;110940,0000000;347
SPFB.RTS-12.18;1;29.10.2018;16:17;110940,0000000;110980,0000000;110930,0000000;110960,0000000;371
SPFB.RTS-12.18;1;29.10.2018;16:18;110960,0000000;111000,0000000;110950,0000000;110990,0000000;188
